id,name,popularity,known_for_department,profile_path,biography
59521,Jaume Collet-Serra,12.191,Directing,/saAeTFfgt9YRAybXmzfmIz01UCB.jpg,"Jaume Collet-Serra (born March 23, 1974 in Sant Iscle de Vallalta, Spain) is a Spanish film director and producer.

Collet-Serra is most famous for the 2005 remake House of Wax, and 2009's Orphan. In 2010 he directed the Dark Castle drama-thriller Unknown which stars Frank Langella, Liam Neeson, January Jones and Diane Kruger.

Description above from the Wikipedia article Jaume Collet-Serra, licensed under CC-BY-SA, full list of contributors on Wikipedia."
2218465,Parker Finn,5.735,Directing,/2HZPv0IUlxRqCpmgbk7KdovhQaF.jpg,
1056121,Ryan Coogler,10.393,Directing,/40n61jOMzHpDSnzLBQOSEEWlxEw.jpg,"Ryan Kyle Coogler (born May 23, 1986) is an American film director, producer, and screenwriter. His first feature film, Fruitvale Station (2013), won the top audience and grand jury awards in the U.S. dramatic competition at the 2013 Sundance Film Festival.[2] He has since co-written and directed the seventh film in the Rocky series, Creed (2015), and the Marvel film Black Panther (2018), the latter of which broke numerous box office records and became the highest-grossing film of all time by an African American director.

Coogler's films have received significant critical acclaim and commercial success. In 2013, he was included on Time's list of the 30 people under 30 who are changing the world] His work has been hailed by critics for centering on often overlooked cultures and characters—most notably African Americans.

He frequently collaborates with actor Michael B. Jordan, who appeared in his first three feature films, as well as composer Ludwig Göransson, who has scored four of his films.

In 2018, Coogler was named the runner-up of Time's Person of the Year and he was included in the annual Time 100 list of the most influential people in the world.  In 2021, Coogler, Zinzi Coogler, and Sev Ohanian founded multimedia company Proximity Media to create event-driven content across various platforms."
3518356,Marian Bushan,0.618,Directing,,
933176,Damien Leone,17.127,Directing,/kr58jbtYatTS6wuAn35pg2d5YQK.jpg,"Damien Leone is an american director, writer and Special Makeup FX Artist. He is known for his films The 9th Circle (2008), Terrifier (2011), All Hallows' Eve (2013) and Frankenstein vs. the Mummy (2015).

Creator of Art the Clown."
1074721,Enrique Gato,3.178,Directing,,
173847,Harry Bradbeer,8.091,Directing,/1fGaCCtKp3ZCXCkWRzOn4l7YnBE.jpg,"Harry Bradbeer is a British television and film director, most well known for directing all but one episode of Phoebe Waller Bridge's TV tragicomedy ""Fleabag"", directing all of the first season of the spy thriller ""Killing Eve"" and the Sherlock Holmes spin-off feature film ""Enola Holmes""."
964826,Chava Cartas,0.703,Directing,,
1099792,John Patton Ford,1.398,Writing,/42ZeeEusgZWzTBhd0GTcWXna1GA.jpg,
1564258,Romuald Boulanger,2.672,Writing,/t1i8zXWH6rEm9AeSYtvY1Ky7wvt.jpg,
1188208,Guillaume Pierret,1.611,Writing,,
90812,Scott Mann,2.314,Directing,/8WygpUzfdfztZQqxGE5zn3rCedJ.jpg,
221522,Edward Berger,3.55,Directing,/aBpMZi6vqvY9tacRIALPnXpde2t.jpg,"Edward Berger was born 1970 in Wolfsburg, Lower Saxony, Germany. He is a TV and film director/writer known for Deutschland 83 (2015), The Terror (2018), Patrick Melrose (2018), All My Loving (2019), and All Quiet on the Western Front (2022)."
62768,William Brent Bell,3.241,Directing,/f7BvvN72ZhESBQ7wrCVw8M4D9by.jpg,"American film director, screenwriter, and producer. He is known for his work on horror films such as Stay Alive, The Devil Inside, Wer, The Boy, and Orphan: First Kill."
61703,Ron Yuan,7.522,Acting,/7Co2MdR8T5zlXTrdZ9Z3qjlmKdV.jpg,"From Wikipedia, the free encyclopedia

Ronald Winston Yuan is an American actor, martial artist, director, and stunt choreographer. He is best known for his roles on Sons of Anarchy, Prison Break, Golden Boy, and CSI: NY. He has acted in numerous films, including an ensemble lead as Sgt. Qiang in Disney's live-action adaptation Mulan. He also supplied the voice of Sgt. Fideltin Rusk in the video game series Star Wars: The Old Republic, and Scorpion in Mortal Kombat 11.

Description above from the Wikipedia article Ron Yuan, licensed under CC-BY-SA, full list of contributors on Wikipedia."
52342,Olivier Marchal,6.708,Acting,/r4NRcHShGE9G0OvI8tSlh5DZMTU.jpg,"Olivier Marchal (b. November 14, 1958 in Talence, France) is a French actor, director, screenwriter, and a former policeman. In 2005, he was nominated for three César Awards (best director, best film, and best writing), for his film 36 Quai des Orfèvres.

Description above from the Wikipedia article Olivier Marchal, licensed under CC-BY-SA, full list of contributors on Wikipedia."
66212,Timo Vuorensola,3.748,Directing,/pMxmMdBh5JyV5Uevy4eaAsrJiM7.jpg,"From Wikipedia, the free encyclopedia

Timo Vuorensola (born 29 November 1979) is a Finnish film director and actor. He has directed Star Wreck movies Star Wreck V: Lost Contact, and Star Wreck: In the Pirkinning, created by Samuli Torssonen. Vuorensola plays Lieutenant Dwarf in the films, and is currently directing the film Iron Sky. He is also the lead vocalist and co-founder of dark industrial band Älymystö.

Description above from the Wikipedia article Timo Vuorensola, licensed under CC-BY-SA, full list of contributors on Wikipedia.

​"
62079,Janeen Damian,2.975,Writing,,
1657527,Agustina San Martín,1.38,Directing,/sZxcJ3WgsFOaCzHfoX7dqkgobIq.jpg,
53348,Petr Jákl,2.83,Acting,/8zi7MXdHXWBIP6IuMFZB1HdWnGX.jpg,"Petr Jákl (born 14 September 1973) is a Czech judoka, actor and director. His father of the same name, Petr Jákl Sr, is also well-known.

He comes from a sports family. How Uncle Frantisek and Father Peter combined their lives with the study of juda. The father was the first Czech participant in the judging competitions at the Olympic Games (1972) and since 1993 the President of the Czech Judaic Union. His wife is the former newscaster on Prima TV Romana Vítová. They have two daughters together Sofia (* 2008) and Elisa (* 2011).

From Wikipedia, the free encyclopedia"
